yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2018,95925,72986,54,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,1351.5925925925926
2019,95925,71620,52,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,1377.3076923076924
2020,95925,58965,44,06115,4.99,515.38,CALIFORNIA,0.0,0.0,0.0,0.5226502131059924,-1.86,19.0,1360.45,0.0,0.0,0.0,3200163,10.6,1.116,6115.0,1437.0,427705000.0,82001.0,1340.1136363636363
2018,95926,5291606,6153,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,860.0042255810174
2019,95926,5783048,6270,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,922.3362041467304
2020,95926,6417539,6362,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,1008.7298019490726
2021,95926,7067252,6430,06007,,,,,,,,,,,,,,,,,,,,,1099.106065318818
2018,95927,793,1,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,793.0
2018,95928,5961417,6050,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,985.3581818181818
2019,95928,6210465,5977,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,1039.0605655010875
2020,95928,6916434,6060,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,1141.3257425742574
2021,95928,7780336,6177,06007,,,,,,,,,,,,,,,,,,,,,1259.5654848632023
2018,95930,100588,90,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,1117.6444444444444
2019,95930,104870,90,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,1165.2222222222222
2020,95930,120316,106,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,1135.0566037735848
2021,95930,136519,109,06007,,,,,,,,,,,,,,,,,,,,,1252.467889908257
2018,95932,1240309,1340,06011,8.38,347.86,CALIFORNIA,0.0,0.0,0.0,0.4365705192302086,-2.2,9.0,85.0,0.0,0.0,0.0,1483162,13.2,1.076,6011.0,140.0,36990000.0,21389.0,925.6037313432836
2019,95932,1344454,1375,06011,7.53,374.05,CALIFORNIA,4.0,20000.0,60.0,0.5062884938368652,0.84,4.0,23.9,0.0,0.0,0.0,1325940,12.9,1.099,6011.0,162.0,40330000.0,21474.0,977.7847272727273
2020,95932,1453837,1390,06011,3.19,385.97,CALIFORNIA,0.0,0.0,0.0,0.493022781046983,-3.25,9.0,629.36,0.0,0.0,0.0,1495139,16.4,1.1,6011.0,199.0,55365000.0,21868.0,1045.9258992805755
2021,95932,1584207,1426,06011,,,,,,,,,,,,,,,,,,,,,1110.9446002805048
2021,95934,98888,58,06063,,,,,,,,,,,,,,,,,,,,,1704.9655172413793
2018,95934,80444,58,06063,5.05,443.52,CALIFORNIA,0.0,0.0,0.0,0.2954515348068507,-0.65,71.0,264.56,0.0,0.0,0.0,918785,7.6,1.088,6063.0,206.0,46200000.0,18830.0,1386.9655172413793
2019,95934,76126,58,06063,6.95,474.36,CALIFORNIA,0.0,0.0,0.0,0.284316065444378,1.48,60.0,54772.18,0.0,0.0,0.0,1021637,7.8,1.089,6063.0,195.0,43565000.0,19052.0,1312.5172413793102
2020,95934,89277,59,06063,3.11,489.11,CALIFORNIA,0.0,0.0,0.0,0.2594350309899302,-1.94,114.0,360985.56,0.0,0.0,0.0,895325,11.0,1.108,6063.0,239.0,61465000.0,19761.0,1513.1694915254238
2021,95935,195481,127,06115,,,,,,,,,,,,,,,,,,,,,1539.2204724409448
