cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
11700,"Asheville, NC",37115,Madison County,North Carolina,"Asheville, NC",11700,2022,450.15,370.655,79.495,21.44716785150611
11700,"Asheville, NC",37115,Madison County,North Carolina,"Asheville, NC",11700,2023,483.3125,450.15,33.16250000000002,7.36698878151727
11700,"Asheville, NC",37115,Madison County,North Carolina,"Asheville, NC",11700,2024,507.3225,483.3125,24.00999999999999,4.967800336221395
11700,"Asheville, NC",37115,Madison County,North Carolina,"Asheville, NC",11700,2025,520.55,507.3225,13.227499999999964,2.6073158592414103
12020,"Athens-Clarke County, GA",13059,Clarke County,Georgia,"Athens-Clarke County, GA",12020,2022,342.8,281.7975,61.0025,21.647637044331482
12020,"Athens-Clarke County, GA",13059,Clarke County,Georgia,"Athens-Clarke County, GA",12020,2023,372.69,342.8,29.889999999999986,8.7193698949825
12020,"Athens-Clarke County, GA",13059,Clarke County,Georgia,"Athens-Clarke County, GA",12020,2024,400.295,372.69,27.605000000000018,7.40696020821594
12020,"Athens-Clarke County, GA",13059,Clarke County,Georgia,"Athens-Clarke County, GA",12020,2025,426.71000000000004,400.295,26.41500000000002,6.598883323548899
12020,"Athens-Clarke County, GA",13195,Madison County,Georgia,"Athens-Clarke County, GA",12020,2022,342.8,281.7975,61.0025,21.647637044331482
12020,"Athens-Clarke County, GA",13195,Madison County,Georgia,"Athens-Clarke County, GA",12020,2023,372.69,342.8,29.889999999999986,8.7193698949825
12020,"Athens-Clarke County, GA",13195,Madison County,Georgia,"Athens-Clarke County, GA",12020,2024,400.295,372.69,27.605000000000018,7.40696020821594
12020,"Athens-Clarke County, GA",13195,Madison County,Georgia,"Athens-Clarke County, GA",12020,2025,426.71000000000004,400.295,26.41500000000002,6.598883323548899
12020,"Athens-Clarke County, GA",13219,Oconee County,Georgia,"Athens-Clarke County, GA",12020,2022,342.8,281.7975,61.0025,21.647637044331482
12020,"Athens-Clarke County, GA",13219,Oconee County,Georgia,"Athens-Clarke County, GA",12020,2023,372.69,342.8,29.889999999999986,8.7193698949825
