"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"19105",126,8197000
2000,"19107",28,1588000
2000,"19109",104,6081000
2000,"19111",69,4327000
2000,"19113",3955,377141000
2000,"19115",39,2350000
2000,"19117",67,3224000
2000,"19119",65,3939000
2000,"19121",130,10849000
2000,"19123",81,5338000
2000,"19125",319,31160000
2000,"19127",380,26335000
2000,"19129",104,9445000
2000,"19131",49,3119000
2000,"19133",48,10235000
2000,"19135",37,1821000
2000,"19137",66,3518000
2000,"19139",373,25457000
2000,"19141",33,2480000
2000,"19143",21,848000
2000,"19145",48,2517000
2000,"19147",42,2186000
2000,"19149",116,10864000
2000,"19151",31,1272000
2000,"19153",7206,786941000
2000,"19155",1059,86669000
2000,"19157",144,11577000
2000,"19159",22,1487000
2000,"19161",16,809000
2000,"19163",2262,215491000
2000,"19165",38,2685000
2000,"19167",43,3015000
2000,"19169",761,73992000
2000,"19171",83,5360000
2000,"19173",15,764000
2000,"19175",57,3738000
2000,"19177",12,661000
2000,"19179",206,11683000
2000,"19181",568,58720000
2000,"19183",114,8589000
2000,"19185",21,1106000
2000,"19187",407,27206000
2000,"19189",81,5010000
2000,"19191",25,1569000
2000,"19193",1267,105029000
2000,"19195",45,2657000
2000,"19197",85,4029000
2000,"20001",87,3838000
2000,"20003",31,1555000
2000,"20005",65,3649000
2000,"20007",8,325000
2000,"20009",89,4868000
2000,"20011",83,3467000
2000,"20013",18,841000
2000,"20015",1006,84085000
2000,"20017",18,904000
2000,"20019",16,830000
2000,"20021",129,6585000
2000,"20023",3,108000
2000,"20025",5,237000
2000,"20027",38,2020000
2000,"20029",30,1300000
2000,"20031",26,1852000
2000,"20033",3,120000
2000,"20035",259,15397000
2000,"20037",280,16249000
2000,"20039",24,1106000
2000,"20041",85,5135000
2000,"20043",33,1932000
2000,"20045",1652,186837000
2000,"20047",12,674000
2000,"20049",8,432000
2000,"20051",255,16912000
2000,"20053",13,778000
2000,"20055",229,16035000
2000,"20057",223,14277000
2000,"20059",222,15520000
2000,"20061",175,11194000
2000,"20063",3,78000
2000,"20065",5,232000
2000,"20067",55,4282000
2000,"20069",34,2445000
2000,"20071",2,209000
2000,"20073",27,1320000
2000,"20075",7,355000
2000,"20077",24,1070000
2000,"20079",380,25787000
2000,"20081",22,1484000
2000,"20083",9,566000
2000,"20085",59,4289000
2000,"20087",175,13808000
2000,"20089",5,108000
2000,"20091",11164,1690420000
2000,"20093",19,1044000
2000,"20095",31,2040000
2000,"20097",5,249000
2000,"20099",95,4126000
2000,"20101",4,187000
2000,"20103",961,98210000
2000,"20105",4,251000
2000,"20107",59,3892000
2000,"20109",16,844000
2000,"20111",275,17437000
2000,"20113",148,10584000
2000,"20115",71,3969000
2000,"20117",28,1693000
2000,"20119",19,967000
2000,"20121",455,49757000
2000,"20123",16,748000
2000,"20125",160,7844000
2000,"20127",9,478000
2000,"20129",12,713000
2000,"20131",33,1475000
2000,"20133",102,5278000
2000,"20135",2,70000
2000,"20137",15,854000
2000,"20139",153,10221000
2000,"20141",5,238000
2000,"20143",26,1695000
2000,"20145",19,992000
2000,"20147",4,213000
2000,"20149",72,5320000
2000,"20151",24,1532000
2000,"20153",3,147000
2000,"20155",445,32177000
2000,"20157",7,265000
2000,"20159",24,1049000
2000,"20161",366,33214000
2000,"20163",14,584000
2000,"20165",13,637000
2000,"20167",54,2854000
2000,"20169",503,37879000
2000,"20171",15,896000
2000,"20173",8060,694603000
2000,"20175",186,12475000
2000,"20177",2510,205927000
2000,"20179",5,197000
2000,"20181",12,742000
2000,"20183",3,222000
2000,"20185",8,416000
2000,"20187",2,113000
2000,"20189",21,1298000
2000,"20191",193,11792000
2000,"20193",48,3462000
2000,"20195",9,470000
2000,"20197",32,2226000
2000,"20199",0,0
2000,"20201",13,348000
2000,"20203",1,31000
2000,"20205",46,1901000
2000,"20207",11,556000
2000,"20209",1787,116433000
2000,"21001",47,2062000
2000,"21003",155,9198000
2000,"21005",231,19963000
2000,"21007",52,3253000
2000,"21009",188,11067000
2000,"21011",58,3379000
2000,"21013",96,4831000
2000,"21015",2169,257344000
2000,"21017",213,20092000
2000,"21019",658,42188000
2000,"21021",197,14491000
2000,"21023",45,3151000
2000,"21025",77,2190000
2000,"21027",99,5042000
2000,"21029",1141,106278000
2000,"21031",81,4027000
2000,"21033",56,3375000
2000,"21035",232,15546000
2000,"21037",1332,123308000
2000,"21039",20,1067000
2000,"21041",65,4394000
2000,"21043",168,8092000
2000,"21045",64,2929000
2000,"21047",816,59357000
2000,"21049",474,40157000
2000,"21051",89,3126000
2000,"21053",28,1199000
2000,"21055",46,3090000
2000,"21057",44,1946000
2000,"21059",1249,95832000
2000,"21061",64,3188000
2000,"21063",9,291000
2000,"21065",142,7640000
2000,"21067",4793,535819000
